,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
952,Ghost,22000000,Fantasy Drama Thriller Mystery Romance,251,corruption fortune teller money transfer money laundering pottery,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",41.967005,6.9,1339,Patrick Swayze Demi Moore Whoopi Goldberg Tony Goldwyn Vincent Schiavelli,Jerry Zucker,,,['Maurice Jarre'],['Adam Greenberg'],['United States of America'],['Paramount Pictures'],['English']
953,Ghostbusters,144000000,Action Fantasy Comedy,43074,female friendship ghost hunting reboot ghost,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",66.21806,5.3,2142,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig,"['Ali Bell', 'Tom Pollock', 'Joe Medjuck', 'Dan Aykroyd', 'Michele Imperato', 'Paul Feig', 'Jessie Henderson']",,,['Robert D. Yeoman'],['United States of America'],"['Pascal Pictures', 'LStar Capital', 'Ghostcorps', 'Montecito Picture Company, The', 'Village Roadshow Pictures', 'Columbia Pictures', 'Feigco Entertainment']",['English']
954,Ghost Rider,110000000,Thriller Action Fantasy Horror,1250,mephisto religion and supernatural dying and death devil's son ghost world,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",46.834703999999995,5.2,1712,Nicolas Cage Eva Mendes Wes Bentley Donal Logue Sam Elliott,Mark Steven Johnson,,,['Christopher Young'],['Russell Boyd'],"['Australia', 'United States of America']","['GH One', 'Michael De Luca Productions', 'Columbia Pictures Corporation', 'Marvel Enterprises', 'Relativity Media', 'Crystal Sky Pictures', 'Vengeance Productions Pty. Ltd.']",['English']
955,Ghost Rider: Spirit of Vengeance,57000000,Action Fantasy Thriller,71676,monk eastern europe skeleton biker marvel comic,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",48.622278,4.7,1135,Nicolas Cage Ciar\u00e1n Hinds Violante Placido Fergus Riordan Johnny Whitworth,Brian Taylor,"['David S. Goyer', 'E. Bennett Walsh', 'Maya Fukuzawa', 'Stan Lee', 'Gary Foster', 'Mark Steven Johnson']",['Roy Thomas'],['David Sardy'],['Brandon Trost'],"['United States of America', 'United Arab Emirates']","['Marvel Knights', 'Michael De Luca Productions', 'Crystal Sky Pictures', 'Hyde Park Entertainment', 'Marvel Entertainment', 'Imagenation Abu Dhabi FZ', 'Columbia Pictures']",['English']
956,Ghost Ship,35000000,Horror Mystery Thriller,9645,cruise pilot ghost ship,"After discovering a passenger ship missing since 1962 floating adrift on the Bering Sea, salvagers claim the vessel as their own. Once they begin towing the ghost ship towards harbor, a series of bizarre occurrences happen and the group becomes trapped inside the ship, which they soon learn is inhabited by a demonic creature.",27.724913,5.3,531,Gabriel Byrne Julianna Margulies Desmond Harrington Ron Eldard Isaiah Washington,Steve Beck,"['Bruce Berman', 'Steve Richards']",,['John Frizzell'],['Gale Tattersall'],"['United States of America', 'Australia']","['Warner Bros.', 'Village Roadshow Pictures', 'NPV Entertainment', 'Dark Castle Entertainment', 'Ghost Ship Films Pty. Ltd.']","['Italiano', 'English', 'Español']"
957,Ghosts of Mars,28000000,Action Horror Science Fiction,10016,climbing up a wall hung upside down flashback within a flashback cavern battering,Melanie Ballard (Natasha Henstridge) is a hard nosed police chief in the year 2025. She and a police snatch squad are sent to Mars to apprehend a dangerous criminal James Williams (Ice Cube). Mars has been occupied by humans for some time and they have set up mining facilities. The mining activities on Mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. It soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the 'invaders'.,13.145204999999999,4.8,296,Natasha Henstridge Ice Cube Jason Statham Clea DuVall Pam Grier,John Carpenter,,,"['Anthrax', 'John Carpenter']",['Gary B. Kibbe'],['United States of America'],"['Screen Gems', 'Animationwerks', 'Storm King Productions']",['English']
958,Gigli,54000000,Drama,8046,new york mentally disabled kidnapping blackmail mission of murder,"Gigli is ordered to kidnap the psychologically challenged younger brother of a powerful federal prosecutor. When plans go awry, Gigli's boss sends in Ricki, a gorgeous free-spirited female gangster who has her own set of orders to assist with the kidnapping. But Gigli begins falling for the decidedly unavailable Ricki, which could be a hazard to his occupation.",9.053456,3.5,104,Ben Affleck Jennifer Lopez Justin Bartha Lainie Kazan Lenny Venito,Martin Brest,['John Hardy'],,['John Powell'],['Robert Elswit'],['United States of America'],"['City Light Films', 'Casey Silver Productions', 'Revolution Studios']",['English']
959,G.I. Jane,50000000,Action Drama,4421,poem middle east helicopter satellite navy,A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,19.434672,6.0,395,Demi Moore Viggo Mortensen Anne Bancroft Jason Beghe Daniel von Bargen,Ridley Scott,,,['Trevor Jones'],['Hugh Johnson'],['United States of America'],"['Trap-Two-Zero Productions', 'Caravan Pictures', 'Hollywood Pictures', 'Scott Free Productions', 'Largo Entertainment', 'First Independent Films']",['English']
960,G.I. Joe: Retaliation,130000000,Adventure Action Science Fiction Thriller,72559,terror assassin secret technology missile,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",59.325589,5.4,3025,Dwayne Johnson D.J. Cotrona Adrianne Palicki Bruce Willis Ray Park,Jon M. Chu,"['Paul Schwake', 'Gary Barber', 'Stephen Sommers', 'Erik Howsam', 'Dana Goldberg', 'David Ellison', 'Roger Birnbaum', 'Herb Gains']","['Paul Wernick', 'Rhett Reese']",['Henry Jackman'],['Stephen F. Windon'],['United States of America'],"['Di Bonaventura Pictures', 'Hasbro', 'Skydance Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Saints LA', 'Paramount Pictures']",['English']
961,G.I. Joe: The Rise of Cobra,175000000,Adventure Action Thriller Science Fiction,14869,terrorist secret hostage technology warhead,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",32.852443,5.6,1962,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers,,,['Alan Silvestri'],['Mitchell Amundsen'],"['United States of America', 'Czech Republic']","['Di Bonaventura Pictures', 'Paramount Pictures', 'Kontsept Film Company', 'Spyglass Entertainment', 'Hasbro']","['Français', 'English', None]"
962,Girl 6,12000000,Comedy,61752,independent film neighbor masturbation phone sex actress,"Girl 6 is a 1996 American film by director Spike Lee about a phone sex operator. Theresa Randle played the title character, and playwright Suzan-Lori Parks wrote the screenplay. The soundtrack is composed entirely of songs written by Prince. The film was screened in the Un Certain Regard section at the 1996 Cannes Film Festival. Directors Quentin Tarantino and Ron Silver make cameo appearances as film directors at a pair of interesting auditions.",2.993939,5.7,16,Theresa Randle Isaiah Washington Spike Lee Jenifer Lewis Debi Mazar,Spike Lee,,['Suzan-Lori Parks'],,,['United States of America'],"['Fox Searchlight Pictures', '40 Acres & A Mule Filmworks']",['English']
963,Gladiator,103000000,Action Drama Adventure,98,rome gladiator arena senate roman empire,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",95.301296,7.9,5439,Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed Richard Harris,Ridley Scott,"['Laurie MacDonald', 'Walter F. Parkes', 'Ridley Scott']",,"['Lisa Gerrard', 'Hans Zimmer']",['John Mathieson'],"['United Kingdom', 'United States of America']","['DreamWorks SKG', 'Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz']",['English']
964,Glee: The Concert Movie,9000000,Documentary Music Family,67675,concert live performance duringcreditsstinger,"A concert documentary shot during the Glee Live! In Concert! summer 2011 tour, featuring song performances and Glee fans' life stories and how the show influenced them.",9.933926,6.8,79,Dianna Agron Lea Michele Gwyneth Paltrow Darren Criss Chris Colfer,Kevin Tancharoen,"['David Nicksay', 'Ian Brennan']","['Brad Falchuk', 'Ian Brennan', 'Ryan Murphy']",,['Glen MacPherson'],['United States of America'],"['Ryan Murphy Productions', 'Twentieth Century Fox Film Corporation', 'Twentieth Century Fox Television']",['English']
965,Glengarry Glen Ross,12500000,Crime Drama Mystery,9504,robbery office shop estate agent company,"Glengarry Glen Ross, follows the lives of four unethical Chicago real estate agents who are prepared to go to any lengths (legal or illegal) to unload undesirable real estate on unwilling prospective buyers.",13.939054,7.5,323,Al Pacino Jack Lemmon Alec Baldwin Alan Arkin Ed Harris,James Foley,['Joseph M. Caracciolo Jr.'],,['James Newton Howard'],['Juan Ruiz Anch\\u00eda'],['United States of America'],"['GGR', 'New Line Cinema', 'Zupnik Cinema Group II']",['English']
966,Glitter,22000000,Drama Romance,10696,talent career woman talent show movie star,Similar to Mariah's life story. Mariah plays the role of a young singer who is eager to become a big star. She dates a DJ who helps her get into the music business.,3.809131,3.4,38,Mariah Carey Max Beesley Terrence Howard Valarie Pettiford Padma Lakshmi,Vondie Curtis-Hall,,,['Terence Blanchard'],['Geoffrey Simpson'],['United States of America'],"['Maroon Entertainment', 'Twentieth Century Fox Film Corporation', 'Laurence Mark Productions', 'Columbia Pictures Corporation', 'Glitter Productions']",['English']
967,Glory,18000000,War,9665,war racism battle union soldier confederate soldier,"Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.",16.102271,7.4,383,Matthew Broderick Denzel Washington Cary Elwes Morgan Freeman Jihmi Kennedy,Edward Zwick,,,['James Horner'],['Freddie Francis'],['United States of America'],"['Freddie Fields Productions', 'TriStar Pictures']",['English']
968,Go,6500000,Crime Comedy Thriller,9430,ecstasy drug dealing drug reference to family circus high,"Told from three perspectives, a story of a bunch of young Californians trying to get some cash, do and deal some drugs, score money and sex in Las Vegas, and generally experience the rush of life.",11.142389,7.0,196,Sarah Polley Katie Holmes Jay Mohr Timothy Olyphant William Fichtner,Doug Liman,,,['Moby'],['Doug Liman'],['United States of America'],['Columbia Pictures'],['English']
969,Goal!: The Dream Begins,30000000,Drama,9763,restaurant sport coach athlete newcastle united,"Like millions of kids around the world, Santiago harbors the dream of being a professional footballer...However, living in the Barrios section of Los Angeles, he thinks it is only that--a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United.",16.541791,6.6,238,Kuno Becker Alessandro Nivola Anna Friel Stephen Dillane Gary Lewis,Danny Cannon,"['Peter Hargitay', 'Lawrence Bender']",,['Graeme Revell'],['Michael Barrett'],"['United Kingdom', 'United States of America']","['Milkshake Films', 'Hargitay & Hargitay Pictures in Motion', 'Touchstone Pictures']","['English', 'Español']"
970,Gods and Generals,56000000,Drama History War,16072,war battle union soldier confederate soldier american civil war,"The film centers mostly around the personal and professional life of Thomas ""Stonewall"" Jackson, a brilliant if eccentric Confederate general, from the outbreak of the American Civil War until its halfway point when Jackson is killed accidentally by his own soldiers in May 1863 during his greatest victory.",4.362535,6.1,48,Stephen Lang Jeff Daniels Robert Duvall Kevin Conway C. Thomas Howell,Ronald F. Maxwell,"['Mace Neufeld', 'Robert Katz', 'Moctesuma Esparza', 'Ted Turner', 'Robert Rehme']",,"['Randy Edelman', 'John Frizzell']",['Kees Van Oostrum'],['United States of America'],"['Turner Pictures', 'Warner Bros. Pictures', 'Antietam Filmworks']",['English']
971,Gods and Monsters,10000000,Drama,3033,gay film director dying and death biography homosexuality,"It's 1957, and Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",5.588652,6.8,81,Ian McKellen Brendan Fraser Lynn Redgrave Lolita Davidovich David Dukes,Bill Condon,,,,['Stephen M. Katz'],"['United Kingdom', 'United States of America']","['Flashpoint (I)', 'Lions Gate Films', 'Showtime Networks']","['English', 'Magyar']"
972,Godsend,25000000,Drama Horror Science Fiction Thriller,11058,schizophrenia clone loss of son nightmare doctor,"A couple agree to have their deceased son cloned under the supervision of an enigmatic doctor, but bizarre things start to happen years after his rebirth.",12.10235,4.7,114,Greg Kinnear Rebecca Romijn Robert De Niro Cameron Bright Zoie Palmer,Nick Hamm,"['Mark Cuban', 'Todd Wagner', 'Michael Paseornek', 'Mark Canton', 'Eric Kopeloff', 'Michael Burns', 'Jon Feltheimer']",,['Brian Tyler'],['Kramer Morgenthau'],"['United States of America', 'Canada']","['2929 Productions', 'Lions Gate Films', 'Blue Productions', 'Artists Production Group (APG)']",['English']
973,God's Not Dead 2,5000000,Drama,347126,christian,"When a high school teacher is asked a question in class about Jesus, her reasoned response lands her in deep trouble and could expel God from the public square once and for all.",6.96858,5.7,72,Hayley Orrantia Melissa Joan Hart Jesse Metcalfe David A.R. White Ray Wise,Harold Cronk,,"['Cary Solomon', 'Chuck Konzelman']",,,['United States of America'],['Pure Flix Productions'],['English']
974,Gods of Egypt,140000000,Fantasy,205584,egypt underworld fight mythology nile,A common thief joins a mythical god on a quest through Egypt.,56.257249,5.3,1277,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung,Alex Proyas,,,,['Peter Menzies Jr.'],"['United States of America', 'Australia']","['TIK Films', 'Thunder Road Pictures', 'Pyramania', 'Mystery Clock Cinema', 'Summit Entertainment']",['English']
975,Godzilla 2000,1000000,Adventure Horror Action Science Fiction,10643,japan monster flying saucer godzilla city,Godzilla saves Tokyo from a flying saucer that transforms into the beast Orga.,3.322721,5.9,43,Takehiro Murata Naomi Nishida Mayu Suzuki Hiroshi Abe Shir\u00f4 Sano,Takao Okawara,,,,['Katsuhiro Kato'],['Japan'],['Toho Film (Eiga) Co. Ltd.'],['日本語']
976,Going the Distance,32000000,Comedy Drama Romance,38073,male nudity sex san francisco waitress newspaper,"Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.",13.611544,6.0,262,Drew Barrymore Justin Long Charlie Day Jason Sudeikis Christina Applegate,Nanette Burstein,"['Dave Neustadter', 'Michael Disco', 'Richard Brener']",['Geoff LaTulippe'],['Mychael Danna'],['Eric Steelberg'],['United States of America'],"['Offspring Entertainment', 'New Line Cinema']",['English']
977,GoldenEye,58000000,Adventure Action Thriller,710,cuba falsely accused secret identity computer virus secret base,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,59.824565,6.6,1174,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Martin Campbell,['Tom Pevsner'],,['Eric Serra'],['Phil Meheux'],"['United States of America', 'United Kingdom']","['United Artists', 'Eon Productions']","['English', 'Español', 'Pусский']"
978,Goldfinger,2500000,Adventure Action Thriller,658,secret organization secret intelligence service nuclear radiation fort knox aston martin,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.",47.812466,7.2,987,Sean Connery Honor Blackman Gert Fr\u00f6be Shirley Eaton Tania Mallet,Guy Hamilton,,,"['John Barry', 'Monty Norman']",['Ted Moore'],"['United States of America', 'United Kingdom']","['United Artists', 'Danjaq', 'Eon Productions']","['普通话', 'English', 'Español']"
979,Gone Girl,61000000,Mystery Thriller Drama,210577,based on novel marriage crisis disappearance cheating husband missing person,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",143.041543,7.9,5862,Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry,David Fincher,,,"['Atticus Ross', 'Trent Reznor']",['Jeff Cronenweth'],['United States of America'],"['New Regency Pictures', 'Pacific Standard', 'Regency Enterprises', 'Twentieth Century Fox Film Corporation', 'Artemple - Hollywood', 'TSG Entertainment']",['English']
980,Gone in Sixty Seconds,90000000,Action Crime Thriller,9679,brother brother relationship detective car race car thief blackmail,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",52.995628,6.1,1485,Nicolas Cage Angelina Jolie Giovanni Ribisi Delroy Lindo Will Patton,Dominic Sena,"['Chad Oman', 'Denice Shakarian Halicki', 'Barry H. Waldman', 'Robert Stone', 'Webster Stone', 'Jonathan Hensleigh']",,['Trevor Rabin'],['Paul Cameron'],['United States of America'],"['Touchstone Pictures', 'Jerry Bruckheimer Films']",['English']
981,Gone with the Wind,4000000,Drama Romance War,770,life and death civil war southern usa loss of child marriage proposal,An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.,48.98255,7.7,970,Vivien Leigh Clark Gable Olivia de Havilland Thomas Mitchell Leslie Howard,Victor Fleming,,"['Ben Hecht', 'Jo Swerling', 'John Van Druten', 'Oliver H.P. Garrett']",['Max Steiner'],"['Ernest Haller', 'Lee Garmes']",['United States of America'],"['Selznick International Pictures', 'Metro-Goldwyn-Mayer (MGM)']",['English']
982,"Good bye, Lenin!",4800000,Comedy Drama Romance,338,bureaucracy berlin wall police state coma loss of mother,An affectionate and refreshing East/West-Germany comedy about a boy who’s mother was in a coma while the Berlin wall fell and when she wakes up he must try to keep her from learning what happen (since she was an avid communist supporter) to avoid shocking her which could lead to another heart attack.,11.086001,7.4,586,Daniel Br\u00fchl Katrin Sass Chulpan Khamatova Maria Simon Florian Lukas,Wolfgang Becker,,,['Yann Tiersen'],['Martin Kukula'],['Germany'],"['WDR', 'X-Filme Creative Pool', 'Arte']",['Deutsch']
983,GoodFellas,25000000,Drama Crime,769,prison based on novel florida 1970s mass murder,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",63.65424399999999,8.2,3128,Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco Paul Sorvino,Martin Scorsese,['Barbara De Fina'],,,['Michael Ballhaus'],['United States of America'],['Winkler Films'],"['English', 'Italiano']"
984,Good Luck Chuck,25000000,Comedy Drama Romance,10030,sex aquarium nudity one-night stand bride,"Cursed since childhood, dentist Charlie Kagan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",21.729434,5.5,444,Dane Cook Jessica Alba Dan Fogler Ellia English Lonny Ross,Mark Helfrich,"['Michael Paseornek', 'Ogden Gavanski', 'Russell Hollander']",,['Aaron Zigman'],['Anthony B. Richmond'],"['United States of America', 'Canada']","['Lionsgate', 'Karz Entertainment']",['English']
985,"Good Morning, Vietnam",13000000,Comedy Drama War,801,rock and roll radio station war crimes entertainer explosive,"Radio funny man Adrian Cronauer is sent to Vietnam to bring a little comedy back into the lives of the soldiers. After setting up shop, Cronauer delights the G.I.s but shocks his superior officer, Sergeant Major Dickerson, with his irreverent take on the war. While Dickerson attempts to censor Cronauer's broadcasts, Cronauer pursues a relationship with a Vietnamese girl named Trinh, who shows him the horrors of war first-hand.",18.362333,7.1,642,Robin Williams Forest Whitaker Tung Thanh Tran Chintara Sukapatana Bruno Kirby,Barry Levinson,,['Mitch Markowitz'],['Alex North'],['Peter Sova'],['United States of America'],"['Touchstone Pictures', 'Silver Screen Partners III']",['English']
986,"Good Night, and Good Luck.",7000000,Drama History,3291,telecaster communist political activism tv show politician,"The story of journalist, Edward R Murrow's stand against Senator McCarthy's anti-communist witch-hunts in the early 1950s.",17.717681,6.8,273,David Strathairn Jeff Daniels Alex Borstein Rose Abdoo Dianne Reeves,George Clooney,"['Steven Soderbergh', 'Ben Cosgrove', 'Marc Butan', 'Jennifer Fox', 'Mark Cuban', 'Todd Wagner', 'Jeff Skoll', 'Chris Salvaterra']",,,['Robert Elswit'],"['United States of America', 'United Kingdom', 'France', 'Japan']","['Participant Productions', '2929 Productions', 'Davis Films', 'Tohokushinsha', 'Redbus Pictures', 'Section Eight Productions', 'Warner Independent Pictures (WIP)']",['English']
987,Good Will Hunting,10000000,Drama,489,baseball boston professor m.i.t. harvard university,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",43.734885999999996,7.9,2811,Robin Williams Matt Damon Ben Affleck Stellan Skarsg\u00e5rd Minnie Driver,Gus Van Sant,"['Bob Weinstein', 'Su Armstrong', 'Jonathan Gordon', 'Harvey Weinstein']","['Matt Damon', 'Ben Affleck']",,['Jean-Yves Escoffier'],"['Canada', 'United States of America']","['Be Gentlemen Limited Partnership', 'Lawrence Bender Productions', 'Miramax Films']",['English']
988,Goosebumps,58000000,Adventure Horror Comedy,257445,based on novel magic fantasy werewolf family,"A teenager teams up with the daughter of young adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",45.351617,6.2,995,Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell,Rob Letterman,"['Ben Waisbren', 'Bill Bannerman', 'Greg Basser', 'Bruce Berman', 'Tania Landau']",,['Danny Elfman'],['Javier Aguirresarobe'],"['Australia', 'United States of America']","['Scholastic Entertainment', 'Columbia Pictures', 'Village Roadshow Pictures', 'Original Film', 'Sony Pictures Animation', 'Sony Pictures Entertainment (SPE)', 'LStar Capital']",['English']
989,Gosford Park,19800000,Drama Mystery Thriller,5279,servant money shooting party,"Multiple storylined drama set in 1932, showing the lives of upstairs guest and downstairs servants at a party in a country house in England.",11.693272,6.8,246,Helen Mirren Clive Owen Maggie Smith Geraldine Somerville Jeremy Northam,Robert Altman,"['Hannah Leader', 'Robert Jones', 'Sharon Harel', 'Jane Barclay']",,['Patrick Doyle'],['Andrew Dunn'],"['United Kingdom', 'Germany', 'United States of America']",['USA Films'],['English']
990,Gossip,14000000,Drama Mystery Thriller,18041,college suspense gossip rumor social experiment,"On a beautiful college campus, something ugly is about to be spread around. A bit of gossip that was told is starting to take a frightening turn. Who could it have offended and how far will the person on the other side of the gossip handle the embarrassing situation.",5.833687,5.5,68,Joshua Jackson James Marsden Kate Hudson Lena Headey Norman Reedus,Davis Guggenheim,,,['Graeme Revell'],['Andrzej Bartkowiak'],['United States of America'],"['Village Roadshow Pictures', 'NPV Entertainment', 'Warner Bros.', 'Outlaw Productions (I)']","['Italiano', 'English']"
991,Gothika,40000000,Horror Thriller,4970,amnesia mental institution patient trust false accusations,"After a car crash, a criminal psychologist (Halle Berry) comes to, only to find that she's a patient in the same mental institution that currently employs her. It seems she's been accused of murdering her husband -- but she has no memory of committing the crime. As she tries to regain her memory and convince her co-workers of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",27.303608,5.8,629,Halle Berry Robert Downey Jr. Charles S. Dutton Pen\u00e9lope Cruz John Carroll Lynch,Mathieu Kassovitz,"['Don Carmody', 'Gary Ungar', 'Steve Richards']",,['John Ottman'],['Matthew Libatique'],['United States of America'],"['Warner Bros.', 'Columbia Pictures Corporation', 'Dark Castle Entertainment']",['English']
992,Gracie,9000000,Drama,15568,,"This is the story of a teenager named Gracie Bowen, who lives in South Orange, New Jersey, is crazy about soccer, as are her three brothers and former soccer star father. Although Gracie wants to join her brothers and father in the nightly practices, she is discouraged by everyone except her elder brother, Johnny. Her father does not believe that girls should play soccer and tells her that she is neither tough enough nor talented enough to play with the boys team. Undeterred, Gracie finds reserves of strength she never knew existed, and persists in changing everyone's beliefs in what she is capable of, including her own. She faces an uphill battle when she fights to give women the opportunity to play competitive soccer. But as the beautiful and strong person that she has always been but she also brings her family together in the face of their own tragedy.",2.365328,6.0,17,Jesse Lee Soffer Christopher Shand Carly Schroeder Karl Girolamo Vasilios Mantagas,Davis Guggenheim,,,,,['United States of America'],"['Ursa Major Films LLC', 'Elevation Filmworks']",['English']
993,Gran Torino,33000000,Drama,13223,rape war veteran immigration priest gang,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.",50.7453,7.8,3086,Clint Eastwood Christopher Carley Bee Vang Ahney Her Brian Haley,Clint Eastwood,"['Jenette Kahn', 'Bruce Berman', 'Tim Moore', 'Adam Richman']",,"['Michael Stevens', 'Kyle Eastwood']",['Tom Stern'],"['Germany', 'United States of America']","['Matten Productions', 'Double Nickel Entertainment', 'Warner Bros.', 'WV Films IV', 'Malpaso Productions', 'Gerber Pictures', 'Village Roadshow Pictures']",['English']
994,Gravity,105000000,Science Fiction Thriller Drama,49047,space mission loss space astronaut trapped in space,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",110.153618,7.3,5751,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,Alfonso Cuar\u00f3n,"['Stephen Jones', 'Christopher DeFaria', 'Nikki Penny']","['Jon\\u00e1s Cuar\\u00f3n', 'Alfonso Cuar\\u00f3n']",['Steven Price'],['Emmanuel Lubezki'],"['United Kingdom', 'United States of America']","['Esperanto Filmoj', 'Warner Bros.', 'Heyday Films']",['English']
